coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT018_MAPORG_NW4,MKT018,Boise,ID,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,43.6560755,-116.2578077,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT019_MAPORG_NE4,MKT019,Albuquerque,NM,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,35.1286992,-106.6017286,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT019_MAPORG_SE4,MKT019,Albuquerque,NM,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,35.04664,-106.6017786,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT019_MAPORG_SW4,MKT019,Albuquerque,NM,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,35.04664,-106.7015614,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT019_MAPORG_NW4,MKT019,Albuquerque,NM,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,35.1286992,-106.7016114,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT020_MAPORG_NE4,MKT020,Fort Collins,CO,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,40.6308286,-105.0281067,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT020_MAPORG_SE4,MKT020,Fort Collins,CO,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,40.5488461,-105.0281724,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT020_MAPORG_SW4,MKT020,Fort Collins,CO,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,40.5488461,-105.1356476,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT020_MAPORG_NW4,MKT020,Fort Collins,CO,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,40.6308286,-105.1357133,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT021_MAPORG_NE4,MKT021,Chicago,IL,GEOGRID13E_V1,NE4,NE 4 mi,45.0,4.0,41.9248187,-87.5770734,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,HIGH
MKT021_MAPORG_SE4,MKT021,Chicago,IL,GEOGRID13E_V1,SE4,SE 4 mi,135.0,4.0,41.8428548,-87.5771435,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
MKT021_MAPORG_SW4,MKT021,Chicago,IL,GEOGRID13E_V1,SW4,SW 4 mi,225.0,4.0,41.8428548,-87.6867565,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT021_MAPORG_NW4,MKT021,Chicago,IL,GEOGRID13E_V1,NW4,NW 4 mi,315.0,4.0,41.9248187,-87.6868266,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,MED
