coordinate_id,market_id,city,state,surface_group,geometry_id,point_id,distance_miles,latitude,longitude,country_boundary_status,water_eligibility_status,collection_eligibility,matched_mtfcc,provisional_risk,classifier_version
MKT025_MAPORG_NW4,MKT025,Columbus,OH,maps_organic,GEOGRID13E_V1,NW4,4.0,40.0036333,-83.0566777,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT026_MAPORG_NE4,MKT026,Cincinnati,OH,maps_organic,GEOGRID13E_V1,NE4,4.0,39.1452197,-84.4667357,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT026_MAPORG_SE4,MKT026,Cincinnati,OH,maps_organic,GEOGRID13E_V1,SE4,4.0,39.0632162,-84.4667967,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT026_MAPORG_SW4,MKT026,Cincinnati,OH,maps_organic,GEOGRID13E_V1,SW4,4.0,39.0632162,-84.5719833,in_country,structural_water_exclusion,STRUCTURAL_WATER,H2030,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT026_MAPORG_NW4,MKT026,Cincinnati,OH,maps_organic,GEOGRID13E_V1,NW4,4.0,39.1452197,-84.5720443,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT027_MAPORG_NE4,MKT027,Indianapolis,IN,maps_organic,GEOGRID13E_V1,NE4,4.0,39.8089548,-86.1003829,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT027_MAPORG_SE4,MKT027,Indianapolis,IN,maps_organic,GEOGRID13E_V1,SE4,4.0,39.7269606,-86.100446,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT027_MAPORG_SW4,MKT027,Indianapolis,IN,maps_organic,GEOGRID13E_V1,SW4,4.0,39.7269606,-86.206634,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT027_MAPORG_NW4,MKT027,Indianapolis,IN,maps_organic,GEOGRID13E_V1,NW4,4.0,39.8089548,-86.2066971,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT028_MAPORG_NE4,MKT028,St. Louis,MO,maps_organic,GEOGRID13E_V1,NE4,4.0,38.6678053,-90.1471032,in_country,eligible_land,ELIGIBLE,,MED,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
MKT028_MAPORG_SE4,MKT028,St. Louis,MO,maps_organic,GEOGRID13E_V1,SE4,4.0,38.5857951,-90.1471628,in_country,eligible_land,ELIGIBLE,,LOW,SED_GEO_ELIGIBILITY_CENSUS_2025_V1
