coordinate_id,market_id,city,state,geometry_id,point_id,label,bearing_deg,distance_miles,latitude,longitude,center_method_version,coordinate_method,precision_decimal_places,water_eligibility,provisional_risk
MKT006_MAPORG_SW2,MKT006,Bakersfield,CA,GEOGRID21_V1,SW2,SW 2 mi,225.0,2,35.3522635,-119.0444793,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NW2,MKT006,Bakersfield,CA,GEOGRID21_V1,NW2,NW 2 mi,315.0,2,35.3932912,-119.044492,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NE4,MKT006,Bakersfield,CA,GEOGRID21_V1,NE4,NE 4 mi,45.0,4,35.4137971,-118.9693233,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_SE4,MKT006,Bakersfield,CA,GEOGRID21_V1,SE4,SE 4 mi,135.0,4,35.3317418,-118.969374,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_SW4,MKT006,Bakersfield,CA,GEOGRID21_V1,SW4,SW 4 mi,225.0,4,35.3317418,-119.069506,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT006_MAPORG_NW4,MKT006,Bakersfield,CA,GEOGRID21_V1,NW4,NW 4 mi,315.0,4,35.4137971,-119.0695567,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_NE2,MKT007,Portland,OR,GEOGRID21_V1,NE2,NE 2 mi,45.0,2,45.5354882,-122.6499718,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_SE2,MKT007,Portland,OR,GEOGRID21_V1,SE2,SE 2 mi,135.0,2,45.4945323,-122.6499929,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_SW2,MKT007,Portland,OR,GEOGRID21_V1,SW2,SW 2 mi,225.0,2,45.4945323,-122.7082271,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_NW2,MKT007,Portland,OR,GEOGRID21_V1,NW2,NW 2 mi,315.0,2,45.5354882,-122.7082482,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
MKT007_MAPORG_NE4,MKT007,Portland,OR,GEOGRID21_V1,NE4,NE 4 mi,45.0,4,45.5559549,-122.6208124,CIVIC_CENTER_ANCHOR_V1_2026-09-09,WGS84_GEODESIC_DIRECT,7,PENDING_TIGER_GATE,LOW
